Date,Close/Last,Volume,Open,High,Low
06/01/2020,306.68,6495260,304.64,307.25,304.10
05/29/2020,305.18,7085825,303.47,305.99,300.58
05/28/2020,303.95,5882815,305.82,307.91,303.30
05/27/2020,304.55,6809232,303.16,304.61,297.9068
05/26/2020,300.17,7299561,302.99,303.20,299.71
05/22/2020,296.41,3699125,295.52,296.616,294.21
05/21/2020,295.81,3865545,297.79,298.66,294.69
05/20/2020,297.99,3890099,296.81,298.87,296.60
05/19/2020,292.99,5323918,295.34,297.17,292.92
05/18/2020,296.04,6021000,294.09,297.70,293.69
05/15/2020,287.16,7109687,283.34,287.23,282.25
05/14/2020,285.92,8720994,279.84,286.02,275.00
05/13/2020,282.54,8598973,286.96,288.1199,279.87
05/12/2020,287.47,4748827,294.73,295.17,287.46
05/11/2020,293.45,6128114,291.21,294.99,290.87
05/08/2020,293.46,4342422,292.055,293.87,290.805
05/07/2020,288.63,3784606,288.70,290.70,288.09
05/06/2020,285.25,3434811,289.02,289.39,285.06
05/05/2020,287.14,5939658,287.53,290.20,286.67
05/04/2020,284.63,4756597,281.55,284.86,280.10
05/01/2020,283.53,6341406,286.19,286.93,282.44
04/30/2020,291.16,11243770,292.66,293.18,289.54
04/29/2020,294.13,7104781,292.50,295.84,291.38
04/28/2020,286.64,6904687,291.99,292.36,286.35
04/27/2020,288.19,5334644,286.03,289.20,285.55
04/24/2020,283.90,5011866,281.60,284.58,279.39
04/23/2020,279.98,7300670,281.35,284.81,279.67
04/22/2020,280.06,7207131,279.19,281.93,277.80
04/21/2020,273.86,8689440,277.61,278.91,272.92
04/20/2020,282.46,5692055,283.51,287.2099,282.26
04/17/2020,287.58,7983041,286.29,288.22,283.31
04/16/2020,280.05,6359986,280.02,280.90,276.622
04/15/2020,278.57,6012143,278.44,280.465,276.31
04/14/2020,284.83,8106513,281.87,285.80,280.80
04/13/2020,276.44,7569708,278.00,278.305,272.2857
04/09/2020,279.12,11462050,278.65,282.0747,276.35
04/08/2020,275.00,5987657,268.75,276.25,266.405
04/07/2020,265.91,11723130,275.07,276.00,265.70
04/06/2020,265.80,9644836,258.63,267.81,257.54
04/03/2020,249.02,6419035,251.49,254.05,246.00
04/02/2020,252.59,7510847,245.92,253.47,245.44
04/01/2020,246.80,13680800,248.76,252.22,244.62
03/31/2020,258.40,9561016,261.40,264.10,257.00
03/30/2020,262.36,9539772,256.53,263.20,254.37
03/27/2020,254.24,9514721,254.00,261.63,251.78
03/26/2020,262.37,15886790,250.33,263.63,249.90
03/25/2020,247.47,11938250,245.57,257.20,240.49
03/24/2020,245.88,12474370,236.99,246.35,235.97
03/23/2020,224.65,14473190,230.23,231.46,220.2756
03/20/2020,231.16,12619790,244.85,246.702,230.70
03/19/2020,242.06,18324900,239.32,248.25,232.94
03/18/2020,241.17,22014180,237.22,246.89,228.78
03/17/2020,255.39,18140870,245.80,257.00,237.82
03/16/2020,240.12,18004610,242.47,257.82,235.00
03/13/2020,271.55,24915840,264.74,272.07,250.52
03/12/2020,248.96,22444710,256.88,267.78,248.56
03/11/2020,275.47,10023070,281.86,283.03,271.99
03/10/2020,289.55,14213310,285.71,289.74,274.61
03/09/2020,274.80,14676520,277.20,285.2899,274.58
03/06/2020,298.70,9896369,294.49,300.04,291.4226
03/05/2020,303.76,6506646,306.32,309.81,301.31
03/04/2020,314.75,7188632,307.45,314.75,304.715
03/03/2020,301.50,12910310,310.76,315.148,298.88
03/02/2020,310.40,11780850,299.34,310.50,295.65
02/28/2020,295.91,19516310,290.04,297.96,286.705
02/27/2020,298.71,11340090,306.72,311.03,298.71
02/26/2020,312.91,11688920,315.53,319.50,312.07
02/25/2020,314.12,12100930,325.38,326.06,313.0822
02/24/2020,323.83,7492116,324.61,327.28,322.70
02/21/2020,335.01,4323892,337.00,337.32,334.10
02/20/2020,338.49,3567658,339.33,340.199,335.23
02/19/2020,339.88,2678830,339.33,340.6312,339.02
02/18/2020,338.26,3572132,338.05,338.70,336.75
02/14/2020,339.07,6510657,339.00,339.26,337.745
02/13/2020,338.58,7908283,337.46,339.68,337.10
02/12/2020,339.00,5473314,338.39,339.19,337.98
02/11/2020,336.84,5850816,337.71,338.54,336.2593
02/10/2020,336.22,3614319,332.71,336.24,332.71
02/07/2020,333.75,4679873,334.33,335.13,333.121
02/06/2020,335.57,4442632,335.57,335.68,334.29
02/05/2020,334.29,4106060,333.78,334.58,332.198
02/04/2020,330.61,3636332,329.56,331.49,329.22
02/03/2020,325.56,3122015,324.81,327.6193,324.73
01/31/2020,323.24,6354354,328.45,328.618,322.18
01/30/2020,329.09,4084536,325.82,329.36,324.96
01/29/2020,328.10,3379487,329.87,330.08,327.9179
01/28/2020,328.33,5559244,326.53,329.30,326.00
01/27/2020,324.87,6552904,324.45,326.56,324.09
01/24/2020,330.23,4793512,333.91,334.005,328.838
01/23/2020,333.26,7454892,332.10,333.41,330.875
01/22/2020,332.85,4182428,333.75,334.44,332.68
01/21/2020,332.78,5892358,332.38,333.65,332.313
01/17/2020,333.50,4982426,333.20,333.65,332.54
01/16/2020,332.40,5493464,331.17,332.40,330.92
01/15/2020,329.66,4405103,328.81,330.49,328.71
01/14/2020,328.92,4301349,328.90,330.0669,328.11
01/13/2020,329.43,3596152,327.87,329.43,327.36
01/10/2020,327.14,3494587,328.7339,328.8956,326.6214
01/09/2020,328.05,2970670,327.59,328.17,326.94
01/08/2020,325.85,3913320,324.38,327.21,324.11
01/07/2020,324.20,3715022,324.46,324.97,323.65
01/06/2020,325.09,4216642,321.89,325.14,321.78
01/03/2020,323.81,4290425,322.53,325.06,322.511
01/02/2020,326.32,4072016,324.98,326.32,323.95
12/31/2019,323.24,3129116,321.96,323.56,321.5675
12/30/2019,322.51,3511987,324.41,324.49,321.96
12/27/2019,324.26,5091408,325.19,325.19,323.71
12/26/2019,324.32,2852214,323.06,324.33,323.02
12/24/2019,322.65,2716319,322.87,322.93,322.305
12/23/2019,322.61,4520185,322.97,323.044,322.45
12/20/2019,322.38,5678374,321.86,323.3496,321.81
12/19/2019,320.74,5210222,319.60,320.81,319.3354
12/18/2019,319.37,4238755,319.83,320.06,319.36
12/17/2019,319.35,4846302,319.78,320.07,319.29
12/16/2019,319.32,3948535,319.00,319.98,318.99
12/13/2019,319.08,3983295,318.73,320.52,317.84
12/12/2019,318.97,5009757,316.23,319.81,315.97
12/11/2019,316.17,4634192,315.84,316.52,315.4079
12/10/2019,315.37,3498183,315.65,316.32,314.61
12/09/2019,315.70,3298872,316.20,317.00,315.62
12/06/2019,316.64,4750735,315.93,317.14,315.8899
12/05/2019,313.84,3007436,314.01,314.01,312.35
12/04/2019,313.18,2211393,312.45,313.8727,312.1115
12/03/2019,311.25,2577192,310.39,311.41,308.8792
12/02/2019,313.41,3537355,316.43,316.45,312.9461
11/29/2019,316.06,1790666,316.69,316.9226,315.85
11/27/2019,317.25,2003223,316.47,317.28,316.15
11/26/2019,315.73,3183276,315.23,316.04,314.84
11/25/2019,315.10,3512289,313.75,315.14,313.75
11/22/2019,312.74,2164540,312.86,312.97,311.62
11/21/2019,312.07,2174244,312.63,312.74,311.1786
11/20/2019,312.52,4100668,313.06,313.59,310.8051
11/19/2019,313.68,3877288,314.47,314.47,312.98
11/18/2019,313.75,2867353,313.30,314.06,312.80
11/15/2019,313.61,3770173,312.77,313.61,312.02
11/14/2019,311.30,2320228,310.53,311.38,309.84
11/13/2019,310.86,2317147,309.62,311.29,309.40
11/12/2019,310.69,2530855,310.50,311.75,309.89
11/11/2019,310.16,2232424,309.20,310.275,309.00
11/08/2019,310.67,2031044,309.53,310.69,308.78
